dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A7,08e94873-c2a6-4f7d-ab72-aeaff3e3f929,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000057,fibroblast,105
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A7,08e94873-c2a6-4f7d-ab72-aeaff3e3f929,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000099,interneuron,5
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A7,08e94873-c2a6-4f7d-ab72-aeaff3e3f929,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000100,motor neuron,3
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A7,08e94873-c2a6-4f7d-ab72-aeaff3e3f929,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000131,gut endothelial cell,9
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A7,08e94873-c2a6-4f7d-ab72-aeaff3e3f929,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000151,secretory cell,3
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A7,08e94873-c2a6-4f7d-ab72-aeaff3e3f929,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000165,neuroendocrine cell,1
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A7,08e94873-c2a6-4f7d-ab72-aeaff3e3f929,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000186,myofibroblast cell,28
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A7,08e94873-c2a6-4f7d-ab72-aeaff3e3f929,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000576,monocyte,1
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A7,08e94873-c2a6-4f7d-ab72-aeaff3e3f929,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000584,enterocyte,102
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A7,08e94873-c2a6-4f7d-ab72-aeaff3e3f929,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000669,pericyte cell,3
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A7,08e94873-c2a6-4f7d-ab72-aeaff3e3f929,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000677,gut absorptive cell,1
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A7,08e94873-c2a6-4f7d-ab72-aeaff3e3f929,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000738,leukocyte,1
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A7,08e94873-c2a6-4f7d-ab72-aeaff3e3f929,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0001071,group 3 innate lymphoid cell,2
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A7,08e94873-c2a6-4f7d-ab72-aeaff3e3f929,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0002088,interstitial cell of Cajal,4
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A7,08e94873-c2a6-4f7d-ab72-aeaff3e3f929,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0002504,enteric smooth muscle cell,20
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A7,08e94873-c2a6-4f7d-ab72-aeaff3e3f929,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0009016,intestinal crypt stem cell of large intestine,4
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A7,08e94873-c2a6-4f7d-ab72-aeaff3e3f929,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0009017,intestinal crypt stem cell of small intestine,21
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A7,08e94873-c2a6-4f7d-ab72-aeaff3e3f929,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0011026,progenitor cell,30
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A7,08e94873-c2a6-4f7d-ab72-aeaff3e3f929,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0019031,intestine goblet cell,1
