dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A8,2d66790a-6621-4a49-8f0d-4002db5cc98d,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000057,fibroblast,255
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A8,2d66790a-6621-4a49-8f0d-4002db5cc98d,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000077,mesothelial cell,5
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A8,2d66790a-6621-4a49-8f0d-4002db5cc98d,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000100,motor neuron,7
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A8,2d66790a-6621-4a49-8f0d-4002db5cc98d,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000125,glial cell,6
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A8,2d66790a-6621-4a49-8f0d-4002db5cc98d,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000131,gut endothelial cell,32
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A8,2d66790a-6621-4a49-8f0d-4002db5cc98d,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000151,secretory cell,1
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A8,2d66790a-6621-4a49-8f0d-4002db5cc98d,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000186,myofibroblast cell,30
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A8,2d66790a-6621-4a49-8f0d-4002db5cc98d,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000584,enterocyte,141
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A8,2d66790a-6621-4a49-8f0d-4002db5cc98d,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000669,pericyte cell,6
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A8,2d66790a-6621-4a49-8f0d-4002db5cc98d,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000677,gut absorptive cell,12
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A8,2d66790a-6621-4a49-8f0d-4002db5cc98d,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000738,leukocyte,1
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A8,2d66790a-6621-4a49-8f0d-4002db5cc98d,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0002088,interstitial cell of Cajal,21
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A8,2d66790a-6621-4a49-8f0d-4002db5cc98d,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0002319,neural cell,1
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A8,2d66790a-6621-4a49-8f0d-4002db5cc98d,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0002504,enteric smooth muscle cell,88
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A8,2d66790a-6621-4a49-8f0d-4002db5cc98d,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0008015,inhibitory motor neuron,14
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A8,2d66790a-6621-4a49-8f0d-4002db5cc98d,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0009011,transit amplifying cell of colon,8
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A8,2d66790a-6621-4a49-8f0d-4002db5cc98d,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0009016,intestinal crypt stem cell of large intestine,47
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A8,2d66790a-6621-4a49-8f0d-4002db5cc98d,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0009017,intestinal crypt stem cell of small intestine,11
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A8,2d66790a-6621-4a49-8f0d-4002db5cc98d,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0011026,progenitor cell,12
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A8,2d66790a-6621-4a49-8f0d-4002db5cc98d,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0019031,intestine goblet cell,11
