dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
Second Trimester Human Developing Brain Regions and Cortical Areas,ae4f8ddd-cac9-4172-9681-2175da462f2e,parietal cortex,UBERON:0016530,unknown,unknown,16th week post-fertilization human stage,unknown,CL:0000003,native cell,784
Second Trimester Human Developing Brain Regions and Cortical Areas,ae4f8ddd-cac9-4172-9681-2175da462f2e,parietal cortex,UBERON:0016530,unknown,unknown,16th week post-fertilization human stage,unknown,CL:0000129,microglial cell,57
Second Trimester Human Developing Brain Regions and Cortical Areas,ae4f8ddd-cac9-4172-9681-2175da462f2e,parietal cortex,UBERON:0016530,unknown,unknown,16th week post-fertilization human stage,unknown,CL:0000679,glutamatergic neuron,3034
Second Trimester Human Developing Brain Regions and Cortical Areas,ae4f8ddd-cac9-4172-9681-2175da462f2e,parietal cortex,UBERON:0016530,unknown,unknown,16th week post-fertilization human stage,unknown,CL:0002453,oligodendrocyte precursor cell,18
Second Trimester Human Developing Brain Regions and Cortical Areas,ae4f8ddd-cac9-4172-9681-2175da462f2e,parietal cortex,UBERON:0016530,unknown,unknown,16th week post-fertilization human stage,unknown,CL:0010011,cerebral cortex GABAergic interneuron,1263
Second Trimester Human Developing Brain Regions and Cortical Areas,ae4f8ddd-cac9-4172-9681-2175da462f2e,parietal cortex,UBERON:0016530,unknown,unknown,16th week post-fertilization human stage,unknown,CL:0011026,progenitor cell,1015
Second Trimester Human Developing Brain Regions and Cortical Areas,ae4f8ddd-cac9-4172-9681-2175da462f2e,parietal cortex,UBERON:0016530,unknown,unknown,16th week post-fertilization human stage,unknown,CL:0013000,forebrain radial glial cell,759
Second Trimester Human Developing Brain Regions and Cortical Areas,ae4f8ddd-cac9-4172-9681-2175da462f2e,parietal cortex,UBERON:0016530,unknown,unknown,16th week post-fertilization human stage,unknown,CL:1001602,cerebral cortex endothelial cell,16
Second Trimester Human Developing Brain Regions and Cortical Areas,ae4f8ddd-cac9-4172-9681-2175da462f2e,parietal cortex,UBERON:0016530,unknown,unknown,17th week post-fertilization human stage,unknown,CL:0000003,native cell,6
Second Trimester Human Developing Brain Regions and Cortical Areas,ae4f8ddd-cac9-4172-9681-2175da462f2e,parietal cortex,UBERON:0016530,unknown,unknown,17th week post-fertilization human stage,unknown,CL:0000071,blood vessel endothelial cell,3
Second Trimester Human Developing Brain Regions and Cortical Areas,ae4f8ddd-cac9-4172-9681-2175da462f2e,parietal cortex,UBERON:0016530,unknown,unknown,17th week post-fertilization human stage,unknown,CL:0000679,glutamatergic neuron,5
