dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
All major cell types in adult human retina,0129dbd9-a7d3-4f6b-96b9-1da155a93748,fovea centralis,UBERON:0001786,female,unknown,78-year-old human stage,European,CL:0000125,glial cell,1862
All major cell types in adult human retina,0129dbd9-a7d3-4f6b-96b9-1da155a93748,fovea centralis,UBERON:0001786,female,unknown,78-year-old human stage,European,CL:0000561,amacrine cell,1556
All major cell types in adult human retina,0129dbd9-a7d3-4f6b-96b9-1da155a93748,fovea centralis,UBERON:0001786,female,unknown,78-year-old human stage,European,CL:0000573,retinal cone cell,857
All major cell types in adult human retina,0129dbd9-a7d3-4f6b-96b9-1da155a93748,fovea centralis,UBERON:0001786,female,unknown,78-year-old human stage,European,CL:0000604,retinal rod cell,14397
All major cell types in adult human retina,0129dbd9-a7d3-4f6b-96b9-1da155a93748,fovea centralis,UBERON:0001786,female,unknown,78-year-old human stage,European,CL:0000745,retina horizontal cell,1058
All major cell types in adult human retina,0129dbd9-a7d3-4f6b-96b9-1da155a93748,fovea centralis,UBERON:0001786,female,unknown,78-year-old human stage,European,CL:0000748,retinal bipolar neuron,9460
All major cell types in adult human retina,0129dbd9-a7d3-4f6b-96b9-1da155a93748,fovea centralis,UBERON:0001786,male,unknown,73-year-old human stage,European,CL:0000125,glial cell,8728
All major cell types in adult human retina,0129dbd9-a7d3-4f6b-96b9-1da155a93748,fovea centralis,UBERON:0001786,male,unknown,73-year-old human stage,European,CL:0000561,amacrine cell,3940
All major cell types in adult human retina,0129dbd9-a7d3-4f6b-96b9-1da155a93748,fovea centralis,UBERON:0001786,male,unknown,73-year-old human stage,European,CL:0000573,retinal cone cell,3384
All major cell types in adult human retina,0129dbd9-a7d3-4f6b-96b9-1da155a93748,fovea centralis,UBERON:0001786,male,unknown,73-year-old human stage,European,CL:0000604,retinal rod cell,3472
All major cell types in adult human retina,0129dbd9-a7d3-4f6b-96b9-1da155a93748,fovea centralis,UBERON:0001786,male,unknown,73-year-old human stage,European,CL:0000745,retina horizontal cell,3800
All major cell types in adult human retina,0129dbd9-a7d3-4f6b-96b9-1da155a93748,fovea centralis,UBERON:0001786,male,unknown,73-year-old human stage,European,CL:0000748,retinal bipolar neuron,14317
All major cell types in adult human retina,0129dbd9-a7d3-4f6b-96b9-1da155a93748,fovea centralis,UBERON:0001786,male,unknown,84-year-old human stage,European,CL:0000125,glial cell,1523
All major cell types in adult human retina,0129dbd9-a7d3-4f6b-96b9-1da155a93748,fovea centralis,UBERON:0001786,male,unknown,84-year-old human stage,European,CL:0000561,amacrine cell,1966
All major cell types in adult human retina,0129dbd9-a7d3-4f6b-96b9-1da155a93748,fovea centralis,UBERON:0001786,male,unknown,84-year-old human stage,European,CL:0000573,retinal cone cell,1549
All major cell types in adult human retina,0129dbd9-a7d3-4f6b-96b9-1da155a93748,fovea centralis,UBERON:0001786,male,unknown,84-year-old human stage,European,CL:0000604,retinal rod cell,8232
All major cell types in adult human retina,0129dbd9-a7d3-4f6b-96b9-1da155a93748,fovea centralis,UBERON:0001786,male,unknown,84-year-old human stage,European,CL:0000745,retina horizontal cell,1497
All major cell types in adult human retina,0129dbd9-a7d3-4f6b-96b9-1da155a93748,fovea centralis,UBERON:0001786,male,unknown,84-year-old human stage,European,CL:0000748,retinal bipolar neuron,9721
All major cell types in adult human retina,0129dbd9-a7d3-4f6b-96b9-1da155a93748,macula lutea proper,UBERON:0002822,female,unknown,78-year-old human stage,European,CL:0000125,glial cell,494
All major cell types in adult human retina,0129dbd9-a7d3-4f6b-96b9-1da155a93748,macula lutea proper,UBERON:0002822,female,unknown,78-year-old human stage,European,CL:0000561,amacrine cell,42
All major cell types in adult human retina,0129dbd9-a7d3-4f6b-96b9-1da155a93748,macula lutea proper,UBERON:0002822,female,unknown,78-year-old human stage,European,CL:0000573,retinal cone cell,576
All major cell types in adult human retina,0129dbd9-a7d3-4f6b-96b9-1da155a93748,macula lutea proper,UBERON:0002822,female,unknown,78-year-old human stage,European,CL:0000604,retinal rod cell,12673
