dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A9,b9b4cf27-9c22-410d-8bd8-5d43e379485b,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000057,fibroblast,187
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A9,b9b4cf27-9c22-410d-8bd8-5d43e379485b,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000077,mesothelial cell,1
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A9,b9b4cf27-9c22-410d-8bd8-5d43e379485b,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000099,interneuron,4
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A9,b9b4cf27-9c22-410d-8bd8-5d43e379485b,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000125,glial cell,3
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A9,b9b4cf27-9c22-410d-8bd8-5d43e379485b,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000131,gut endothelial cell,46
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A9,b9b4cf27-9c22-410d-8bd8-5d43e379485b,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000164,enteroendocrine cell,2
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A9,b9b4cf27-9c22-410d-8bd8-5d43e379485b,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000186,myofibroblast cell,15
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A9,b9b4cf27-9c22-410d-8bd8-5d43e379485b,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000584,enterocyte,132
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A9,b9b4cf27-9c22-410d-8bd8-5d43e379485b,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000669,pericyte cell,14
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A9,b9b4cf27-9c22-410d-8bd8-5d43e379485b,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0000677,gut absorptive cell,7
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A9,b9b4cf27-9c22-410d-8bd8-5d43e379485b,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0002088,interstitial cell of Cajal,16
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A9,b9b4cf27-9c22-410d-8bd8-5d43e379485b,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0002504,enteric smooth muscle cell,70
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A9,b9b4cf27-9c22-410d-8bd8-5d43e379485b,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0008015,inhibitory motor neuron,29
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A9,b9b4cf27-9c22-410d-8bd8-5d43e379485b,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0009011,transit amplifying cell of colon,10
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A9,b9b4cf27-9c22-410d-8bd8-5d43e379485b,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0009012,transit amplifying cell of small intestine,1
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A9,b9b4cf27-9c22-410d-8bd8-5d43e379485b,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0009016,intestinal crypt stem cell of large intestine,97
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A9,b9b4cf27-9c22-410d-8bd8-5d43e379485b,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0009017,intestinal crypt stem cell of small intestine,5
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A9,b9b4cf27-9c22-410d-8bd8-5d43e379485b,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0011026,progenitor cell,3
Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A9,b9b4cf27-9c22-410d-8bd8-5d43e379485b,intestine,UBERON:0000160,unknown,unknown,fetal stage,unknown,CL:0019031,intestine goblet cell,2
