dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A2,9dfd2243-74d6-4924-86bd-c206ca9287b1,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0000057,fibroblast,327
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A2,9dfd2243-74d6-4924-86bd-c206ca9287b1,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0000100,motor neuron,1
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A2,9dfd2243-74d6-4924-86bd-c206ca9287b1,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0000125,glial cell,95
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A2,9dfd2243-74d6-4924-86bd-c206ca9287b1,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0000131,gut endothelial cell,104
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A2,9dfd2243-74d6-4924-86bd-c206ca9287b1,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0000151,secretory cell,20
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A2,9dfd2243-74d6-4924-86bd-c206ca9287b1,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0000164,enteroendocrine cell,32
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A2,9dfd2243-74d6-4924-86bd-c206ca9287b1,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0000165,neuroendocrine cell,17
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A2,9dfd2243-74d6-4924-86bd-c206ca9287b1,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0000186,myofibroblast cell,113
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A2,9dfd2243-74d6-4924-86bd-c206ca9287b1,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0000235,macrophage,27
Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A2,9dfd2243-74d6-4924-86bd-c206ca9287b1,colon,UBERON:0001155,male,unknown,66-year-old human stage,unknown,CL:0000236,B cell,57
