dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
Single-cell longitudinal analysis of SARS-CoV-2 infection in human bronchial epithelial cells,030faa69-ff79-4d85-8630-7c874a114c19,bronchial epithelial cell (cell culture),CL:0002328 (cell culture),unknown,unknown,unknown,unknown,CL:0000158,club cell,4521
Single-cell longitudinal analysis of SARS-CoV-2 infection in human bronchial epithelial cells,030faa69-ff79-4d85-8630-7c874a114c19,bronchial epithelial cell (cell culture),CL:0002328 (cell culture),unknown,unknown,unknown,unknown,CL:0002208,brush cell of bronchus,69
Single-cell longitudinal analysis of SARS-CoV-2 infection in human bronchial epithelial cells,030faa69-ff79-4d85-8630-7c874a114c19,bronchial epithelial cell (cell culture),CL:0002328 (cell culture),unknown,unknown,unknown,unknown,CL:0002332,ciliated cell of the bronchus,6669
Single-cell longitudinal analysis of SARS-CoV-2 infection in human bronchial epithelial cells,030faa69-ff79-4d85-8630-7c874a114c19,bronchial epithelial cell (cell culture),CL:0002328 (cell culture),unknown,unknown,unknown,unknown,CL:0002371,somatic cell,1522
Single-cell longitudinal analysis of SARS-CoV-2 infection in human bronchial epithelial cells,030faa69-ff79-4d85-8630-7c874a114c19,bronchial epithelial cell (cell culture),CL:0002328 (cell culture),unknown,unknown,unknown,unknown,CL:0017000,pulmonary ionocyte,126
Single-cell longitudinal analysis of SARS-CoV-2 infection in human bronchial epithelial cells,030faa69-ff79-4d85-8630-7c874a114c19,bronchial epithelial cell (cell culture),CL:0002328 (cell culture),unknown,unknown,unknown,unknown,CL:1000223,lung neuroendocrine cell,74
Single-cell longitudinal analysis of SARS-CoV-2 infection in human bronchial epithelial cells,030faa69-ff79-4d85-8630-7c874a114c19,bronchial epithelial cell (cell culture),CL:0002328 (cell culture),unknown,unknown,unknown,unknown,CL:1000312,bronchial goblet cell,43
Single-cell longitudinal analysis of SARS-CoV-2 infection in human bronchial epithelial cells,030faa69-ff79-4d85-8630-7c874a114c19,bronchial epithelial cell (cell culture),CL:0002328 (cell culture),unknown,unknown,unknown,unknown,CL:1000349,basal cell of epithelium of bronchus,9584
